"title","logo","longitude","latitude"
"Salve &dash; Banca del Tempo Capo di Leuca","https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2017/05/Logo-Capo-di-Leuca.jpg?resize=150%2C150",18.292914,39.858475
"Olbia Tempio &dash; Banca del Tempo Scambio Tempo Bank","https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2017/05/Logo-Olbia-B.jpg?resize=150%2C150",9.485236,40.912678
"Coordinamento Regionale Banche del Tempo Sicilia","<img src=https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Logo-Coordinamento-Sicilia.jpg?resize=150%2C150Via Francesco Crispi, c/o Comune, 98021 Alì Terme",15.418880,37.999299
"Schio &dash; Banca del Tempo di Schio","https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2017/03/Logo-Schio.jpg?resize=150%2C150presso la sede in Viale Trento Trieste 3",11.355502,45.710944
"Putignano &dash; Banca del Tempo La rosa di Gerico","<img class="wp-image-11600 alignleft" src=\"https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2017/03/Logo-Putignano-2-1.jpg?resize=300%2C150\" />dalle ore 18:00 alle ore 20:00",17.118778,40.854879
"Torino &dash; Banca del Tempo Tempo al Tempo","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150dalle ore 14:00 alle ore 18:00",7.707600,45.116852
"Roncello &dash; Banca del Tempo Banda del Tempo","https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/12/Logo-Roncello.jpg?resize=150%2C150P.zza Sant’Ambrogio 1, 20877 Roncello",9.458887,45.600978
"Vicenza &dash; Banca del Tempo Medoacus","https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/12/Logo-Vicenza.jpg?resize=150%2C150Via Don Luigi Sturzo 1, 36050 Vicenza",11.626536,45.578562
"Assisi &dash; Banca del Tempo di Subasio","https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/11/Logo-Assisi.jpg?resize=150%2C150Via Cristoforo Cecci 1, c/o CESVOL, 06081 Assisi",12.590515,43.049938
"Predappio &dash; Banca del Tempo Predappio","https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/11/Logo-Predappio.jpg?resize=150%2C150Via Dello Sport 1, 47016 Predappio",11.982394,44.103273
"Monterosi &dash; Banca del Tempo di Monterosi","https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/10/Logo-Monterosi.jpg?resize=150%2C150dalle ore 16:30 alle ore 18:30",12.309623,42.195552
"Messina &dash; Banca del Tempo Zancle Solidale","<img class="wp-image-9001 size-thumbnail alignleft" src=\"https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/10/Logo-Messina-Zancle-Solidale.jpg?resize=150%2C150",15.555772,38.202935
"Ragusa &dash; Banca del Tempo Iblea","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/10/Logo-Iblea.jpg?resize=150%2C150Via Ercolano 26, 97100 Ragusa",14.723866,36.917066
"Mantova &dash; Banca del Tempo Passa-Tempo","https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/09/Logo-Mantova.jpg?resize=150%2C150dalle ore 15:00 alle ore 17:00",10.797672,45.160982
"Lodi &dash; Banca del Tempo di Lodi","https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/09/Logo-Lodi.jpg?resize=150%2C150",9.506389,45.311773
"Milano &dash; Banca del Tempo Il Valore del Tempo On Line","https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/09/Logo-Il-valore-del-Tempo-On-Line.jpg?resize=150%2C150<br />",9.231626,45.487032
"Riccione &dash; Banca del Tempo di Riccione","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/09/Logo-Riccione-1.jpg?resize=150%2C150Viale Lazio 10, 47838 Riccione",12.652908,43.994511
"Rimini &dash; Banca del Tempo della Famiglia","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150Via Giacomo Brodolini 10, loc. Viserba a Monte, 47922 Rimini",12.529594,44.077632
".Coordinamento Banche del Tempo di Rimini e S.Giustina","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150Via Montiano 14, 47922 Santa Giustina, frazione di Rimini",12.482224,44.068345
"Roma – Municipio X &dash; Banca del Tempo UIS","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150",12.264323,41.739479
"Bergamo &dash; Banca del Tempo Conca Fiorita","https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/08/Logo-Conca-Fiorita.jpg?resize=150%2C150</strong>",9.679550,45.709060
