"title","logo","longitude","latitude"
"Salve &dash; Banca del Tempo Capo di Leuca","<img src=\""https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2017/05/Logo-Capo-di-Leuca.jpg?resize=150%2C150\"" />",18.292914,39.858475
"Olbia Tempio &dash; Banca del Tempo Scambio Tempo Bank","<img src=\""https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2017/05/Logo-Olbia-B.jpg?resize=150%2C150\"" />",9.485236,40.912678
"Coordinamento Regionale Banche del Tempo Sicilia","<img src=https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Logo-Coordinamento-Sicilia.jpg?resize=150%2C150\"" />Via Francesco Crispi, c/o Comune, 98021 Alรฌ Terme",15.41888,37.999299
"Schio &dash; Banca del Tempo di Schio","<img src=\""https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2017/03/Logo-Schio.jpg?resize=150%2C150\"" />presso la sede in Viale Trento Trieste 3<br /> ",11.355502,45.710944
"Putignano &dash; Banca del Tempo La rosa di Gerico","<img class=""wp-image-11600 alignleft"" src=\""https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2017/03/Logo-Putignano-2-1.jpg?resize=300%2C150\"" />dalle ore 18:00 alle ore 20:00<br /> ",17.118778,40.854879
"Torino &dash; Banca del Tempo &quote;Tempo al Tempo&quote;","<img src=\""https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150\"" />dalle ore 14:00 alle ore 18:00",7.7076,45.116852
"Roncello &dash; Banca del Tempo &quote;Banda del Tempo&quote;","<img src=\""https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/12/Logo-Roncello.jpg?resize=150%2C150\"" />P.zza SantโAmbrogio 1, 20877 Roncello",9.458887,45.600978
"Vicenza &dash; Banca del Tempo Medoacus","<img src=\""https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/12/Logo-Vicenza.jpg?resize=150%2C150\"" />Via Don Luigi Sturzo 1, 36050 Vicenza",11.626536,45.578562
"Assisi &dash; Banca del Tempo di Subasio","<img src=\""https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/11/Logo-Assisi.jpg?resize=150%2C150\"" />Via Cristoforo Cecci 1, c/o CESVOL, 06081 Assisi",12.590515,43.049938
"Predappio &dash; Banca del Tempo Predappio","<img src=\""https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/11/Logo-Predappio.jpg?resize=150%2C150\"" />Via Dello Sport 1, 47016 Predappio",11.982394,44.103273
"Monterosi &dash; Banca del Tempo di Monterosi","<img src=\""https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/10/Logo-Monterosi.jpg?resize=150%2C150\"" />dalle ore 16:30 alle ore 18:30",12.309623,42.195552
"Messina &dash; Banca del Tempo Zancle Solidale","<img class=""wp-image-9001 size-thumbnail alignleft"" src=\""https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/10/Logo-Messina-Zancle-Solidale.jpg?resize=150%2C150\"" />",15.555772,38.202935
"Ragusa &dash; Banca del Tempo Iblea","<img src=\""https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/10/Logo-Iblea.jpg?resize=150%2C150\"" />Via Ercolano 26, 97100 Ragusa",14.723866,36.917066
"Mantova &dash; Banca del Tempo Passa-Tempo","<img src=\""https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/09/Logo-Mantova.jpg?resize=150%2C150\"" />dalle ore 15:00 alle ore 17:00",10.797672,45.160982
