"url","title","wkt"
"http://community-exchange.org/","Cape Town Talent Exchange","Cape Town, Western Cape, South Africa"
"http://community-exchange.org/","Johannesburg Talent Exchange","Johannesburg, Gauteng, South Africa"
"http://community-exchange.org/","Pretoria Talent Exchange","Pretoria, Gauteng, South Africa"
"http://community-exchange.org/","Oude Molen Talent Exchange","Cape Town, Western Cape, South Africa"
"http://community-exchange.org/","Demonstration Community Exchange","South Africa"
"http://community-exchange.org/","Port Elizabeth Community Exchange","Port Elizabeth, Eastern Cape, South Africa"
"http://community-exchange.org/","Garden Route Talent Exchange","George, Western Cape, South Africa"
"http://community-exchange.org/","McGregor Talent Exchange","McGregor, Western Cape, South Africa"
"http://community-exchange.org/","Helderberg Talent Exchange","Somerset West, Western Cape, South Africa"
"http://community-exchange.org/","Stellenbosch Talent Exchange","Stellenbosch, Western Cape, South Africa"
"http://community-exchange.org/","East London Community Exchange","East London, Eastern Cape, South Africa"
"http://community-exchange.org/","Twee Riviere Talent Exchange","Twee Riviere, Eastern Cape, South Africa"
"http://community-exchange.org/","Durban Talent Exchange","Durban, KwaZulu-Natal, South Africa"
"http://community-exchange.org/","Pietermaritzburg Talent Exchange","Pietermaritzburg, KwaZulu-Natal, South Africa"
"http://community-exchange.org/","Golden Bay HANDS","Takaka, New Zealand"
"http://community-exchange.org/","Timaru Alternative Trading System Inc.","Timaru, New Zealand"
"http://community-exchange.org/","Taranaki Sustainable Communities Trust","Taranaki, New Zealand"
"http://community-exchange.org/","West Coast Employment Swap & Trade","Kumara, New Zealand"
"http://community-exchange.org/","River Exchange & Barter System","Wanganui, New Zealand"
"http://community-exchange.org/","Wairarapa Green Dollar Exchange Inc","Wairarapa, Wellington, New Zealand"
"http://community-exchange.org/","Wairau Inter-Trading Green System Inc","Blenheim, New Zealand"
"http://community-exchange.org/","Thames Green Dollar Exchange","Thames, New Zealand"
"http://community-exchange.org/","Nighthawk Exchange in Louisville Colorado USA","Louisville, CO, Colorado, United States"
"http://community-exchange.org/","Invercargill Barter & Exchange Systems","Invercargill, New Zealand"
"http://community-exchange.org/","Wellington Independent Trading System","Wellington, New Zealand"
"http://community-exchange.org/","Wanaka Exchange & Barter System","Wanaka, Otago, New Zealand"
"http://community-exchange.org/","NZ Community Exchange","New Zealand, New Zealand, New Zealand"
"http://community-exchange.org/","Community Mutual Credit System [CMCS]","Vienna, South Dakota, United States"
"http://community-exchange.org/","Waldo County Community Exchange","Belfast, Maine, United States"
"http://community-exchange.org/","Murihiku Alternative Trading & Exchange System","Murihiku, New Zealand"
"http://community-exchange.org/","Local Exchange Trading System Winnipeg","Winnipeg, Manitoba, Canada"
"http://community-exchange.org/","Sistema de intercambio Chobita","Argentina"
"http://community-exchange.org/","PANSA BrainBank","Cape Town, Western Cape, South Africa"
"http://community-exchange.org/","Greyton Community Exchange","Cape Town, Western Cape, South Africa"
"http://community-exchange.org/","Prince Edward County Community Exchange","Picton, Ontario, Canada"
"http://community-exchange.org/","Vanuatu TredVatu","Vanuatu"
"http://community-exchange.org/","Ranon Ambrym North and West Communities","Malampa, Vanuatu"
"http://community-exchange.org/","Navsagh & Lamap Exchange","Vanuatu"
"http://community-exchange.org/","Saint Louis Community Exchange","St. Louis, Missouri, United States"
"http://community-exchange.org/","Goshen, IN Exchange","New Paris, Indiana, United States"
"http://community-exchange.org/","Whangaroa Economic Resources Community System","Kaeo, New Zealand"
"http://community-exchange.org/","Saot West Bay Ninde Tribe","Vanuatu"
"http://community-exchange.org/","Jharkhand Community Exchange","Ranchi, Jharkhand, India"
"http://community-exchange.org/","Global Groups Exchange","International, Everywhere, International"
"http://community-exchange.org/","Edmonton & Area Service Exchange","Edmonton, Alberta, Canada"
"http://community-exchange.org/","Providence Communty Exchange","Providence, Rhode Island, United States"
"http://community-exchange.org/","Hawkes Bay Community Exchange","Hawkes Bay, New Zealand"
"http://community-exchange.org/","New Totnes LETS","Totnes, Devon, United Kingdom"
"http://community-exchange.org/","Sistema de Intercambio Comunitario de Rota","Rota, Cรกdiz, Spain"
"http://community-exchange.org/","Saiom.com","India"
"http://community-exchange.org/","SpyCat Community Exchange","New York, New York, United States"
"http://community-exchange.org/","Equamedios Milano IT CES","Cologno Monzese, Milano, Italy"
"http://community-exchange.org/","Watauga County Community Exchange","Boone, North Carolina, United States"
"http://community-exchange.org/","Perfecti","Calvia, Mallorca, Spain"
"http://community-exchange.org/","So. RI Rainbow Trading Post","Narragansett, Rhode Island, United States"
"http://community-exchange.org/","South-West Community Exchange Trading","Bridgetown, Western Australia, Australia"
"http://community-exchange.org/","Yahola Tribal Exchange Bank","Monticello, Florida, United States"
"http://community-exchange.org/","Stanford Community Exchange","Stanford, Western Cape, South Africa"
"http://community-exchange.org/","Syndicated Creative Arts Pursuits Exchange","Pudong, Shanghai, China"
"http://community-exchange.org/","Bytesbanken i Gรถteborg","Gรถteborg, Sweden"
"http://community-exchange.org/","Warkworth/Wellsford Green Dollars Exchange","Warkworth, North Island, New Zealand"
"http://community-exchange.org/","Gangkyi Community Exchange","Dharamsala, Himachal Pradesh, India"
"http://community-exchange.org/","ICareNOW Exchange","California, California, United States"
"http://community-exchange.org/","Yippee Skippy Free Exchange of Pioneer Valley","Pioneer Valley, Massachusetts, United States"
"http://community-exchange.org/","Namaqualand Talent Exchange","Bitterfontein, Western Cape, South Africa"
"http://community-exchange.org/","Windhoek Community Exchange","Windhoek, Khomas, Namibia"
"http://community-exchange.org/","Leelanau Exchange","Suttons Bay, Michigan, United States"
"http://community-exchange.org/","Surfcoast Local Energy Trading System","Torquay, Victoria, Australia"
"http://community-exchange.org/","Perfecti Forest of Dean","Cinderford, Gloucestershire, United Kingdom"
"http://community-exchange.org/","Global Resource Bank","Hollywood, Florida, United States"
"http://community-exchange.org/","Marysville/Everett Area Childcare Exchange","Everett, Washington, United States"
"http://community-exchange.org/","Waru Waru Exchange","Malampa, Vanuatu"
"http://community-exchange.org/","Childside School Community Exchange","Australia"
"http://community-exchange.org/","Ann Arbor Small Business & Community Exchange","Ann Arbor, Michigan, United States"
"http://community-exchange.org/","Puget Sound Community Exchange","Puget Sound, Washington, United States"
"http://community-exchange.org/","The Commonwealth Reserve Exchange","Kansas, United States"
"http://community-exchange.org/","Southeastern Alliance for Community Change: Community Exchange System","Wilmington, North Carolina, United States"
"http://community-exchange.org/","LETS Ibiza","Ibiza, Ibiza, Spain"
"http://community-exchange.org/","Launceston TAS Community Exchange","Launceston, Tasmania, Australia"
"http://community-exchange.org/","Metro-Atlanta Community Currency Initiative","Atlanta, Georgia, United States"
"http://community-exchange.org/","Curitiba Community Exchange","Curitiba, Paranรก, Brazil"
"http://community-exchange.org/","Circle of Gifts Exchange","Stockholm, Sweden"
"http://community-exchange.org/","Community Xchange Network of Cascadia","Boise, Portland, Seattle, Vancouver, B.C., Oregon, United States"
"http://community-exchange.org/","Vegan Global Community Exchange","Global, Queensland, Australia"
"http://community-exchange.org/","Dar krogi izmenjav Slovenije","Ljubljana, Slovenia, Slovenia "
"http://community-exchange.org/","Annapolis Barter","Annapolis County, Nova Scotia, Nova Scotia, Canada"
"http://community-exchange.org/","Waltham Forest LETS","London, London, United Kingdom"
"http://community-exchange.org/","Queenstown Wakatipu Exchange Network","Arrowtown, Otago, New Zealand"
"http://community-exchange.org/","Upper Hutt Green Dollars","Wellington, North Island, New Zealand"
"http://community-exchange.org/","Matopos CC","Bulawayo, Matabeleland, Zimbabwe"
"http://community-exchange.org/","Ipswich Community Exchange System","Ipswich, Queensland, Australia"
"http://community-exchange.org/","Bytesring Smรฅland","Sunhultsbrunn, Sweden"
"http://community-exchange.org/","North Warrandyte RakeLETS","North Warrandyte, Victoria, Australia"
"http://community-exchange.org/","Bass Coast Community Exchange","Wonthaggi, Victoria, Australia"
"http://community-exchange.org/","Ngoda Community Exchange","Harare, Harare, Zimbabwe"
"http://community-exchange.org/","Eastern Washington Community Exchange","Colville, Washington, United States"
"http://community-exchange.org/","Nelson Complementary Currency","Nelson, Nelson, New Zealand"
"http://community-exchange.org/","Selfless Exchange","Cape Town, Western Cape, South Africa"
"http://community-exchange.org/","Stadin Aikapankki","Helsinki, Finland"
"http://community-exchange.org/","EBB Romania","Curtea de Arges, Romania"
"http://community-exchange.org/","Miami Community Exchange","Miami, Florida, United States"
"http://community-exchange.org/","Unity Currency","Savannah, Georgia, United States"
"http://community-exchange.org/","Canberra Rural LETS Exchange","Canberra, New South Wales, Australia"
"http://community-exchange.org/","Columbia Community Exchange","Saint Helens, Oregon, United States"
"http://community-exchange.org/","Heidelberg (WC) Community Exchange","Heidelberg, Western Cape, South Africa"
"http://community-exchange.org/","EcoXarxa del Garraf","Garraf, Catalunya, Spain"
"http://community-exchange.org/","Oaks Area Community Exchange","Tahlequah, Oklahoma, United States"
"http://community-exchange.org/","Sevier/Cocke County Digital Exchange","Cosby, Tennessee, United States"
"http://community-exchange.org/","Ecoxarxa del Montseny","Montseny, Granollers, Bcn, Catalunya, Spain"
"http://community-exchange.org/","Woman Power East Rand","Kempton Park, Gauteng, South Africa"
"http://community-exchange.org/","Bellingen Local Energy Sustainability System","Bellingen, New South Wales, Australia"
"http://community-exchange.org/","Communidad Trueke Permacultura Chile","Chile, Biobio, Chile"
"http://community-exchange.org/","Sofia Community Exchange Network","Sofia, Bulgaria"
"http://community-exchange.org/","Acords Musicals d'Intercanvi","Reus, Tarragona, Spain"
"http://community-exchange.org/","Bathurst LETS","Bathurst, New South Wales, Australia"
"http://community-exchange.org/","Ecoxarxa de Barcelona","Barcelona, Catalunya, Spain"
"http://community-exchange.org/","Digital Arts Community Exchange","The World, Tennessee, United States"
"http://community-exchange.org/","Pegasus Exchange","Christchurch, Canterbury, New Zealand"
"http://community-exchange.org/","Ecoxarxa d'Osona","Osona, Catalunya, Spain"
"http://community-exchange.org/","North London Local Exchange and Trading Scheme","London - North of the River Thames, London, United Kingdom"
"http://community-exchange.org/","Beacon Bank Community Exchange","Earth, Staffordshire, United Kingdom"
"http://community-exchange.org/","St. Maarten Island Exchange","Sint Maarten"
"http://community-exchange.org/","Cloud Community Exchange","Menlo Park, California, United States"
"http://community-exchange.org/","Nucli Autรฒnom Pรบblic del Camp","Camp de Tarragona, Catalunya, Spain"
"http://community-exchange.org/","QuipShare Community Exchange","NSW Far South Coast, New South Wales, Australia"
"http://community-exchange.org/","Eco Rรฉseau du Roannais","Roanne, Loire, France"
"http://community-exchange.org/","Vaihtopiiri Karelia","Lappeenranta, Etela-Karjala, Finland"
