url,title,WKT,longitude,latitude
http://community-exchange.org/,Cape Town Talent Exchange,"Cape Town, Western Cape, South Africa",18.4289,-33.9351
http://community-exchange.org/,Johannesburg Talent Exchange,"Johannesburg, Gauteng, South Africa",28.0328,-26.1633
http://community-exchange.org/,Pretoria Talent Exchange,"Pretoria, Gauteng, South Africa",28.154,-25.7484
http://community-exchange.org/,Oude Molen Talent Exchange,"Cape Town, Western Cape, South Africa",18.4289,-33.9351
http://community-exchange.org/,Demonstration Community Exchange,South Africa,23.913711,-28.378272
http://community-exchange.org/,Port Elizabeth Community Exchange,"Port Elizabeth, Eastern Cape, South Africa",25.613358,-33.952511
http://community-exchange.org/,Garden Route Talent Exchange,"George, Western Cape, South Africa",22.4617,-33.963
http://community-exchange.org/,McGregor Talent Exchange,"McGregor, Western Cape, South Africa",19.8291,-33.9472
http://community-exchange.org/,Helderberg Talent Exchange,"Somerset West, Western Cape, South Africa",18.85,-34.0833
http://community-exchange.org/,Stellenbosch Talent Exchange,"Stellenbosch, Western Cape, South Africa",18.8668,-33.9346
http://community-exchange.org/,East London Community Exchange,"East London, Eastern Cape, South Africa",27.904,-33.0154
http://community-exchange.org/,Twee Riviere Talent Exchange,"Twee Riviere, Eastern Cape, South Africa",26.642211,-32.145157
http://community-exchange.org/,Durban Talent Exchange,"Durban, KwaZulu-Natal, South Africa",31.0292,-29.8579
http://community-exchange.org/,Pietermaritzburg Talent Exchange,"Pietermaritzburg, KwaZulu-Natal, South Africa",30.3894,-29.6169
http://community-exchange.org/,Golden Bay HANDS,"Takaka, New Zealand",172.809,-40.8561
http://community-exchange.org/,Timaru Alternative Trading System Inc.,"Timaru, New Zealand",171.25,-44.4
http://community-exchange.org/,Taranaki Sustainable Communities Trust,"Taranaki, New Zealand",174.152541,-39.418699
http://community-exchange.org/,West Coast Employment Swap & Trade,"Kumara, New Zealand",171.1869,-42.6299
http://community-exchange.org/,River Exchange & Barter System,"Wanganui, New Zealand",175.05,-39.93333
http://community-exchange.org/,Wairarapa Green Dollar Exchange Inc,"Wairarapa, Wellington, New Zealand",174.77722,-41.28889
http://community-exchange.org/,Wairau Inter-Trading Green System Inc,"Blenheim, New Zealand",173.93759,-41.56761
http://community-exchange.org/,Thames Green Dollar Exchange,"Thames, New Zealand",175.5444,-37.1366
http://community-exchange.org/,Nighthawk Exchange in Louisville Colorado USA,"Louisville, CO, Colorado, United States",-105.1319,39.9778
http://community-exchange.org/,Invercargill Barter & Exchange Systems,"Invercargill, New Zealand",168.26667,-46.41667
http://community-exchange.org/,Wellington Independent Trading System,"Wellington, New Zealand",174.77722,-41.28889
http://community-exchange.org/,Wanaka Exchange & Barter System,"Wanaka, Otago, New Zealand",169.1363,-44.6974
http://community-exchange.org/,NZ Community Exchange,"New Zealand, New Zealand, New Zealand",171.7799,-41.838875
http://community-exchange.org/,Community Mutual Credit System [CMCS],"Vienna, South Dakota, United States",-97.5015,44.703
http://community-exchange.org/,Waldo County Community Exchange,"Belfast, Maine, United States",-69.0064,44.4259
http://community-exchange.org/,Murihiku Alternative Trading & Exchange System,"Murihiku, New Zealand",171.7799,-41.838875
http://community-exchange.org/,Local Exchange Trading System Winnipeg,"Winnipeg, Manitoba, Canada",-97.1667,49.8833
http://community-exchange.org/,Sistema de intercambio Chobita,Argentina,-63.998128,-35.376184
http://community-exchange.org/,PANSA BrainBank,"Cape Town, Western Cape, South Africa",18.4289,-33.9351
http://community-exchange.org/,Greyton Community Exchange,"Cape Town, Western Cape, South Africa",18.4289,-33.9351
http://community-exchange.org/,Prince Edward County Community Exchange,"Picton, Ontario, Canada",-77.2301,43.9864
http://community-exchange.org/,Vanuatu TredVatu,Vanuatu,167.718149,-16.255052
http://community-exchange.org/,Ranon Ambrym North and West Communities,"Malampa, Vanuatu",167.472216,-16.240459
http://community-exchange.org/,Navsagh & Lamap Exchange,Vanuatu,167.718149,-16.255052
http://community-exchange.org/,Saint Louis Community Exchange,"St. Louis, Missouri, United States",-90.19,38.63
http://community-exchange.org/,"Goshen, IN Exchange","New Paris, Indiana, United States",-85.828,41.5003
http://community-exchange.org/,Whangaroa Economic Resources Community System,"Kaeo, New Zealand",173.7751,-35.1017
http://community-exchange.org/,Saot West Bay Ninde Tribe,Vanuatu,167.718149,-16.255052
http://community-exchange.org/,Jharkhand Community Exchange,"Ranchi, Jharkhand, India",85.33472,23.35556
http://community-exchange.org/,Global Groups Exchange,"International, Everywhere, International",-122.3241,47.5982
http://community-exchange.org/,Edmonton & Area Service Exchange,"Edmonton, Alberta, Canada",-113.5065,53.5344
http://community-exchange.org/,Providence Communty Exchange,"Providence, Rhode Island, United States",-71.4128,41.824
