"url", "latitude", "longitude", "WKT", "title", "description", "logo", "active_members", "year_transactions", "ads"
"a-bacasableannick.communityforge.net","47.427761","0.666850","","       Site Annick","            Bienvenue à vous!","http://a-bacasableannick.communityforge.net/system/files/fish-158336_640.png","4","0","1"
"a-bacasable-philippe.communityforge.net","50.629250","3.057256","","Oups! si vous arrivez là et que c'est pas votre site.","suite au travaux pour passer tous les sites communityforge en https..","","10","1","13"
"abrayliens.communityforge.net","47.9135808","1.9535065","","Abrayliens  ","","http://abrayliens.communityforge.net/system/files/st jean de braye.jpg","47","75","42"
"accordobiou.communityforge.net","44.906521","5.784528","","Accord'Obiou","N'échangez plus de l'argent, échangez du temps !","http://accordobiou.communityforge.net/system/files/Echange.png","17","11","8"
"a-crocosel.communityforge.net","44.055564","5.048722","","a-crocosel.communityforge.net","Mettez ici votre slogan","","3","0","0"
"agasel.communityforge.net","43.309547","3.472531","","AgaSEL","Le SEL Agathois","http://agasel.communityforge.net/system/files/logo.png","3","0","0"
"agenda21marcilly69.communityforge.net","45.872524","4.727579","","Entraide Marcilloise","Plateforme d'échanges, de trocs et de dons de Marcilly d'Azergues","http://agenda21marcilly69.communityforge.net/system/files/marcilly blason.jpg","12","0","3"
"alensel.fr","48.4330732","0.0926971","","Alen'Sel ","Plateforme d’échange de coups de mains, de biens et de savoir à Alençon et sa région.","http://alensel.fr/system/files/logolescourtscircuitsBAT_1.png","60","34","31"
"alternatisel.communityforge.net","48.8105376","2.0464611","","AlternatiSel","Le lien est plus fort que le bien","http://alternatisel.communityforge.net/system/files/logo alternatisel v5_0.png","9","0","7"
"annecy-sel74.communityforge.net","45.8987871","6.111191299999973","","SEL Annecy","Système d'Échange Local - Échanger pour changer","http://annecy-sel74.communityforge.net/system/files/logo-sel-300x138.jpg","57","643","23"
"arbresellarochelle.communityforge.net","46.160329","-1.151139","","Arbre Sel La Rochelle","Ton temps vaut le mien !","http://arbresellarochelle.communityforge.net/system/files/logo SEL.png","70","19","66"
"arbres-sn.communityforge.net","48.989700","-0.337890","","SEL arbres-sn","Venez cueillir et échanger vos feuilles de SEL!","http://arbres-sn.communityforge.net/system/files/Logo-SEL.jpg","60","9","45"
"arcenselcampbon.communityforge.net","47.412291","-1.9703293","","Arc-en-SEL de Campbon","","http://arcenselcampbon.communityforge.net/system/files/logo SEL.png","20","0","37"
"arcensel.communityforge.net","48.856614","2.352222","","arcensel.communityforge.net","Mettez ici votre slogan","","10","4","7"
"ahora.communityforge.net","-40.3007295","175.7240197","","aroha.communityforge.net","Ki te mea ka taka te kākano ki te wāhi e tika ana ka tinaku, ā, ka pihi ake he tipu hou","","2","0","0"
"a-seldicietdailleurs.communityforge.net","44.397248","0.804935","","SEL d'Ici et d'Ailleurs","Pour que ceux d'ici rencontrent ceux d'ailleurs....","http://a-seldicietdailleurs.communityforge.net/system/files/cf_n.jpg","6","0","1"
"a-selensemble.communityforge.net","43.9463612","4.8106384","","Test sur SEL Ensemble ","Le système d'échange local d'Avignon et environs","http://a-selensemble.communityforge.net/system/files/sel-ensemble_0.png","71","118","13"
"selidaire.org","47.401366","0.663360","","SEL'Idaire :   <!--/*-->   Portail dédié aux SEL / A tout membre individuel de SEL","Association pour l'information et la promotion des SEL francophones","http://selidaire.org/system/files/Sel'idaire-réduit+++.jpg","597","19","11"
"auberge.communityforge.net","48.800542","1.501719","","L'Auberge de la Solidarité","Ensemble pour la Solidarité","http://auberge.communityforge.net/system/files/portrait_1753_x250_y162.jpg","3330","1","226"
"bailasel.communityforge.net","44.575370","4.453330","","bailasel.communityforge.net","Le SEL de la Vallée de l'Auzon","http://bailasel.communityforge.net/system/files/logo Baila.png","3","0","0"
"baugeois-selidaires.communityforge.net","47.624440","-0.069790","","baugeois-selidaires.communityforge.net","Mettez ici votre slogan","","1","0","0"
"beaugen.communityforge.net","47.7780978","1.6342163","","Le grenier à SEL","Pour changer, échangeons!","http://beaugen.communityforge.net/sites/beaugensel.fr/files/logo_beaugency.jpg","35","52","11"
"besansel.fr","47.237829","6.0240539","","besansel.fr","Pour changer, échangeons !","","47","0","85"
"bigoudsel.communityforge.net","47.866915","-4.222298","","         Bigoud'sel","Le SEL qui décoiffe !","http://bigoudsel.communityforge.net/system/files/logo sel_0.jpg","34","18","98"
"boutsdephisel.communityforge.net","48.463890","-0.831680","","boutsdephisel.communityforge.net","Créons des liens","http://boutsdephisel.communityforge.net/system/files/LOGO_Phisel2_0.png","3","1","20"
"calif-sem.communityforge.net","50.614002","5.549618","","CALIF SEM","Service d'Echange entre Membres","http://calif-sem.communityforge.net/system/files/banniere-sem.jpg","33","2","30"
"carrefourdusel.communityforge.net","44.028","5.975","","carrefourdusel.communityforge.net","Le lien vaut mieux que le bien","","74","0","25"
"carrousel23.communityforge.net","46.393300","1.945180","","carrousel23.communityforge.net","Mettez ici votre slogan","","2","0","0"
