"latitude","longitude","title","active_members","3 month_transactions"
51.4748339,0.3223077," Thurrock TB",346,4731
40.7351381,-73.9882447," ArchCare TimeBank",1492,4715
51.4067327,0.0165631," Community Volunteers Time Bank (CVTB)",473,4295
51.8898875,0.9048651," Colchester Time Bank (CCVS)",502,4278
42.3382226,-83.1346329,"Unity in Our Community TimeBank",716,2785
51.793163,1.1460505," Tendring Time Bank",273,2753
51.6381165,0.3213464," Brentwood Time Bank",42,2569
5013114,-5.0448244," Your Way Timebank",626,2226
51.8730408,0.3597976," Time Bank Uttlesford",197,2045
55.378051,-3.435973," Ladybarn Community Time Bank",396,2010
38.478193,-107.8766911,"TimeBank of the Rockies TBR",220,1873
4266697,-8.1404875," ABUNDU",18,1750
53.3824277,-292148," Real Neighbours Wythenshawe",130,1666
39.740977,-104.873576,"Aurora Time Bank ",243,1435
51.7012754,0.1143674," Epping and Harlow Time Bank",95,1219
56.0038423,-4.735812," Argyll Voluntary Action (Argyll  Bute Time Bankin",1560,1195
38.6505003,-90.1945569," Grace Hill Settlement House",258,1189
51.594256,-0.3347693," Harrow Communities Click",1181,986
42.6247468,-83.3252017,"Pontiac SUN TimeBank",268,976
29.489743,-98.4546639," The CoOperative",39,928
34.0796167,-11885096," Arroyo S.E.C.O. Network of Time Banks",586,797
51.741101,0.6845551," Maldon Time Bank",112,786
51.4497248,-0.0177875," Lewisham Local Prime account",522,775
43.6557694,-70.2605402," Hour Exchange Portland",528,728
51.5349849,0.7117473," Southend Time Bank",154,722
53.4104684,-2.1568137," Give2Gain",140,704
40.054305,-83.022544,"Care and Share Time Bank ",260,681
40.0149856,-105.2705456,"TimeBank Boulder",121,666
42.3214031,-72.6273488," Valley Time Trade Organization",299,598
53.76964,-0.3671649," TimeBank Hull and East Riding",640,567
42.3120704,-82.9542277," Windsor-Essex Compassion Care Community",42,566
52.2447757,0.1087062," Littleport Timebank",139,540
53.4929076,-2.2744639," Salford Timebank",147,536
38.078403,-78.458116," Cville TimeBank",338,507
27.9711651,-82.6969408," TAMPA BAY TIME",596,480
51.4740883,-0.0679916," HOurBank",141,462
51.5704402,0.4543461," Wickford Time Bank",51,455
43.67022,-79.4286867," UpLift Credit Exchange",71,442
51.6233656,-0.1510452," Time Bank Barnet",339,377
41.2012519,-80.616219,"_Time Bank Mahoning Watershed ORG",212,375
38.2398591,-85.73143," Louisville TimeBank",618,359
42.371286,-71.103581," Time Trade Circle",703,349
36.5760412,-121.822098,"hOURbank ",97,342
52.2447757,0.1087062," Cambourne Timebank",115,340
420221,-83.592764,"hOur Exchange Admin ",140,335
51.4302048,-0.0804159," Paxton Green Time Bank",388,330
56.4676533,-2.8718327," Ferry Time Admin",98,294
41.7152619,-72.2288754,"ORGANIZATION Windham Area Hour Exchange",232,282
54.1070698,-344525," Barrow Time Bank",88,268
50.9090657,-1.334765," Woolston Time Bank",203,267
50.369587,-4.1577776," Opportunity Knocks",193,255
35.6869752,-105.937799," Santa Fe Time Bank",269,249
55.1227643,-3.355938," Annandale and Eskdale Time banks",180,248
52.1907935,-2.2157091," Onside",93,244
55.3805243,-3.9920998," Upper Nithsdale",32,239
33.778208,-118.184607," Long Beach Time Exchange",852,238
35.1599999,-106.58," ABQ Hours Exchange",67,236
39.002352,-77.030296," Silver Spring Timebank",240,228
