"title","WKT","members","url"
"Xarxa de Ciència Tècnica i Tecnologia","Maresme, Peninsula Ibérica, Spain",20,"http://integralces.org"
"Ecoxarxa de Poble nou","Barcelona, Barcelonès, Spain",20,"http://integralces.org"
"Réseau d'Échanges de Ressources et de Services","Toulouse, Midi-Pyrénées, France",22,"http://integralces.org"
"Ecoxarxa Baix Llobregat","Collbató, Baix Llobregat, Spain",23,"http://integralces.org"
"Red de economia social Rizoma","Provincia de Córdoba,, Argentina",23,"http://integralces.org"
"Uilikandé","Ubatuba, Sao Paulo, Brazil",24,"http://integralces.org"
"Ecoxarxa Pirineu","Pont de Suert, Pobla, Sort, Tremp, Vielha, Ribagorça, Pallars, Aran",27,"http://integralces.org"
"De Gota en Gota","Baix Montseny, Vallès Oriental, Spain",34,"http://integralces.org"
"Cooperativa integral Catalana euros virtuals","Catalunya, Spain",44,"http://integralces.org"
"Rete di scambio Pesaro-Urbino","Urbino, Marche, Spain",72,"http://integralces.org"
"Herri Kooperatiba","Iruña, Nafarroa, Spain",74,"http://integralces.org"
"Ecoxarxa del Maresme","Mataró, El Maresme, Spain",83,"http://integralces.org"
"EcoRed Bierzo","Bierzo, LEÓN, Spain",91,"http://integralces.org"
"Δίκτυο Ανταλλαγών Ηρακλείου ""Το Κουκί""","Heraklion, Crete, Grece",105,"http://integralces.org"
"Ecoxarxa del Vallès Occidental","Terrassa, Catalunya, Spain",115,"http://integralces.org"
"EcoRed Milaguas EsTeruel","Sur-Este de Teruel, Teruel, Spain",128,"http://integralces.org"
"Ecoxarxa Garrotxa","Garrotxa, Catalunya, Spain",182,"http://integralces.org"
"CIC Renda Bàsica","Barcelona, Catalunya, Spain",183,"http://integralces.org"
"Ecoxarxa Empordà","Empordà, Girona, Spain",192,"http://integralces.org"
"Ecoxarxa Girona","Girona, Girona, Spain",265,"http://integralces.org"
"A bona hora (Ecoxarxa del Bages)","Bages, Catalunya, Spain",423,"http://integralces.org"
"ECO - Xarxa ECO de Tarragona","Camp de Tarragona, Catalunya, Spain",686,"http://integralces.org"
"Cooperativa Integral Catalana","Catalunya, Spain",2841,"http://integralces.org"
