title,WKT,members,url
Xarxa de Ciència Tècnica i Tecnologia,"Maresme, Peninsula Ibérica, Spain",20,http://integralces.net
Ecoxarxa de Poble nou,"Barcelona, Barcelonès, Spain",20,http://integralces.net
Réseau d'Échanges de Ressources et de Services,"Toulouse, Midi-Pyrénées, France",22,http://integralces.net
Ecoxarxa Baix Llobregat,"Collbató, Baix Llobregat, Spain",23,http://integralces.net
Red de economia social Rizoma,"Provincia de Córdoba,, Argentina",23,http://integralces.net
Uilikandé,"Ubatuba, Sao Paulo, Brazil",24,http://integralces.net
Ecoxarxa Pirineu,"Catalunya, Spain",27,http://integralces.net
De Gota en Gota,"Baix Montseny, Vallès Oriental, Spain",34,http://integralces.net
Cooperativa integral Catalana euros virtuals,"Catalunya, Spain",44,http://integralces.net
Rete di scambio Pesaro-Urbino,"Urbino, Marche, Spain",72,http://integralces.net
Herri Kooperatiba,"Iruña, Nafarroa, Spain",74,http://integralces.net
Ecoxarxa del Maresme,"Mataró, El Maresme, Spain",83,http://integralces.net
EcoRed Bierzo,"Bierzo, LEÓN, Spain",91,http://integralces.net
"Δίκτυο Ανταλλαγών Ηρακλείου ""Το Κουκί""","Heraklion, Crete, Grece",105,http://integralces.net
Ecoxarxa del Vallès Occidental,"Terrassa, Catalunya, Spain",115,http://integralces.net
EcoRed Milaguas EsTeruel,"Sur-Este de Teruel, Teruel, Spain",128,http://integralces.net
Ecoxarxa Garrotxa,"Garrotxa, Catalunya, Spain",182,http://integralces.net
CIC Renda Bàsica,"Barcelona, Catalunya, Spain",183,http://integralces.net
Ecoxarxa Empordà,"Empordà, Girona, Spain",192,http://integralces.net
Ecoxarxa Girona,"Girona, Girona, Spain",265,http://integralces.net
A bona hora (Ecoxarxa del Bages),"Bages, Catalunya, Spain",423,http://integralces.net
ECO - Xarxa ECO de Tarragona,"Camp de Tarragona, Catalunya, Spain",686,http://integralces.net
Cooperativa Integral Catalana,"Catalunya, Spain",2841,http://integralces.net
