title,latitude,longitude,url,description
"LETS #8940",50.78069,3.03854,https://www.facebook.com/groups/letswervik/,"Tel. 0484 06 88 08  (Hannelore)<br />letswervik@gmail.com"
"LETS Aalst-Oudenaarde",50.846954,3.601367,http://www.welzijn.net/letsaalstoudenaarde,"9700 Oudenaarde<br />oudenaarde@letst.be ___________ Maak hier jouw profiel aan: https://aalst.letsc.be/admin.php"
"LETS Aalst-Oudenaarde",50.935950,4.030258,http://www.welzijn.net/letsaalstoudenaarde,"Nieuwbeekstraat 35 - 9300 Aalst<br />Tel. 053 39 96 93<br />aalst@letst.be ____________________ Maak hier een profiel aan: https://aalst.letsc.be/admin.php"
"LETS Aalst-Oudenaarde",50.795281,4.118048,http://www.welzijn.net/letsaalstoudenaarde,"1755 Gooik<br />gooik@letst.be ________________ Maak hier jouw profiel aan: https://aalst.letsc.be/admin.php"
"LETS Aalst-Oudenaarde",50.909373,4.200547,http://www.asse.letst.be/,"1730 Asse<br />letsasse@gmail.com ______________ Maak hier jouw profiel aan: https://aalst.letsc.be/admin.php"
"LETS Aalst-Oudenaarde",50.869546,3.810708,http://www.welzijn.net/letsaalstoudenaarde,"9620 Zottegem<br />Tel. 09 328 59 51<br />letsregiozottegem@yahoo.com Maak hier jouw profiel aan: https://aalst.letsc.be/admin.php"
"LETS Aalter",51.092121,3.458485,http://www.letsaalter.net,"Hoefijzer 24 - bus 3D - 9880 Aalter<br />Tel. 0486 60 51 33<br />letsaalter@outlook.be"
"LETS Antwerpen stad",51.204033,4.389236,http://groepen.letsvlaanderen.be/antwerpen-stad/,"Patriottensstraat 62 - 2600 Berchem<br />lets.stad@antwerpen.be"
"LETS Begijnendijk/Aarschot",51.000968,4.792547,http://vrouwholle.lets.be/,"Seypstraat 54 - 3130 Betekom<br />Tel. 016 56 43 24<br />vrouw.holle@letsvlaanderen.be"
"LETS Beveren-Waas",51.21617,4.24807,,"Prosper Van Raemdonckstraat  - 9120 Beveren<br />Tel. 0477 44 65 48<br />beverenlets@gmail.com"
"LETS Bierbeek",50.8279,4.759810,,"Bierbeek<br />gerd@cambiarte.be"
"LETS Brugge",51.214586,3.277689,http://www.letsbrugge.be,"s’Gravenstraat 44 - bus 101 - 8000 Brugge<br />info.letsbrugge@gmail.com"
"LETS Brussel",50.845487,4.357016,http://www.letsbrussel.be,"1000 Brussel<br />Tel. 022428397<br />letsbrussel@gmail.com"
"LETS Burcht-Zwijndrecht",51.215831,4.329822,,"J.B. Tassijnsstraat 5 - 2070 Zwijndrecht<br />Tel. 03 219 80 25<br />lets2070@outlook.com"
"LETS Dansaert",50.850289,4.345845,,"Antoine Dansaertstraat 70 - 1000 Brussel<br />Tel. 053 730 816<br />SabrinaB@lets.vlaanderen"
"LETS Diest",50.989649,5.050160,,"3290 Diest<br />letsdiest@hotmail.com"
"LETS Durme",51.095823,3.999093,http://www.letsdurme.be,"Beekstraat 32 - 9160 Lokeren<br />secretariaat@letsdurme.be"
"LETS Fashion steunpunt Oostende",51.235276,2.920041,,"Klaprozenlaan  - 8400 Oostende<br />sabienmeeremans@telenet.be"
"LETS Gent",51.069939,3.739067,http://www.lets.gent,"Scandinaviëstraat 101 - 9000 Gent<br />info@lets.gent"
"LETS Geraardsbergen",50.770735,3.875163,http://www.letsgeraardsbergen.org,"9500 Geraardsbergen<br />Tel. 0487338416<br />info@letsgeraardsbergen.be"
"LETS Groot-Assenede",51.226968,3.751034,URL,"9960 Assenede<br />lets.groot.assenede@gmail.com"
"LETS Groot-Diksmuide",51.033349,2.864804,https://www.facebook.com/LETSGrootDiksmuide/,"Diksmuide<br />scherrensingrid@gmail.com"
"LETS Groot-Heist",51.068699,4.715896,https://letsgrootheist.wordpress.com/,"Heist-op-den-Berg<br />Tel. 015 65 59 55  of 0497 28 71 17 (Daisy)<br />letsgrootheist@gmail.com"
"LETS Haacht",50.977362,4.638124,,"Haacht<br />Tel. 016 /53.33.11 (Liesbet Van Hilst) 0497/76.30.82 (Leen Appeltans)<br />letshaacht@gmail.com"
"LETS Hamme",51.090201,4.140268,https://sites.google.com/site/letsenhamme/,"9220 Hamme<br />Tel. 0479821088<br />leendebaere@hotmail.com"
"LETS Herenthout",51.139462,4.756391,,"Herenthout<br />leen.claes@gmail.com"
"LETS Ieper",50.851029,2.88679,https://www.facebook.com/LetsIeper/,"Ieper<br />Tel. 0472832549<br />letsieper@gmail.com"
"LETS Kruibeke",51.170637,4.312306,,"Kruibeke<br />letskruibeke@gmail.com"
"LETS Landen",50.76652,5.093079,https://www.facebook.com/groups/letslanden/about/,"3400 Landen<br />Tel. 0476 88 01 30  (Mieke Dury).<br />letslanden@gmail.com"
"LETS Leie",50.819289,3.284905,http://www.letsleie.be,"8500 Kortrijk<br />Tel. 0487 90 85 04  (Ingrid)<br />http://www.letsleie.be/contact"
"LETS Leuven",50.879843,4.700517,http://www.letsleuven.be,"3000 Leuven<br />contact.letsleuven@gmail.com"
"LETS Limburg",50.903804,5.317798,http://www.letslimburg.be,"Kattendansstraat 24 - 3500 Hasselt<br />info@letslimburg.be"
"LETS Mechelen",51.025876,4.477536,http://www.letsmechelen.be,"Mechelen<br />contactfomulier"
"LETS Merelbeke",50.986314,3.741270,http://www.letsmerelbeke.be,"Pinksterbloemstraat    24 - 9090 Melle<br />info@letsmerelbeke.be"
"LETS Oostende",51.211819,2.873426,"http://letsoostende.brechtbonne.be/ ","Klaprozenlaan  54/A0 - 8400 Oostende<br />sabienmeeremans@telenet.be"
"LETS Pollekesland",51.100045,4.372577,http://pollekesland.pelfrene.net/home,"Tel. 034883267<br />info@pollekesland.be"
"LETS Pollekesland",51.084323,4.680303,http://pollekesland.pelfrene.net/home,"Tel. 034883267<br />info@pollekesland.be"
"LETS Pollekesland",51.154355,4.470656,http://pollekesland.pelfrene.net/home,"Tel. 034883267<br />info@pollekesland.be"
