title,latitude,longitude,description,url
34 AgaSEL,43.30986,3.47778,34300 AGDE (pas Selidiare),
91 SEL des 2 vals,48.70714,2.44196,91270 VIGNEUX sur SEINE (pas Selidiare),
31 SEL Cocagne ,43.59363,1.43689,31031 TOULOUSE (pas Selidiare),
31 SELjaime,43.59018,1.46745,31400 TOULOUSE (pas Selidiare),
53 PhiSEL - SEL en cours de creation,48.41744,-0.90893,53120 GORRON (pas Selidiare),https://boutsdephisel.communityforge.net
01 SEL Bressan,46.20969,5.2422,01000 Bourg-en-Bresse (pas Selidiare),https://sel-bressan.frama.site
40 SEL du lac,43.7259,-1.04921,40990 St Paul-lès-Dax (pas Selidiare),http://www.seldulac40.fr
75 SEL de Lutece,48.83467,2.3102,75015 PARIS Rue Georges Pitard (pas Selidiare),
01 Talent SEL,45.93509,4.8237,01600 REYRIEUX,https://www.facebook.com/TalentSEL/
02 Sel de Laon,49.56413,3.61988,02000 LAON,
02 Sel du Gobanais,49.58514,3.24037,02300 Autreville,http://seldugobanais.communityforge.net
02 SEL des vallons,49.51377,3.48281,02320 LIZY,
03 SEL Sud Allier,46.11763,3.40235,03700 BELLERIVE Sur Allier,
03 La pompe bourbonnaise,46.34154,2.60199,03100 Montluçon,http://seldemontlucon.communityforge.net
03 CEP (Convivialité Echange Partage ),46.38129,3.30123,03500 Monetay sur Allier,
03 SEL en Pays Saint Pourcinois,46.38129,3.30123,03500 Saint Pourçain sur Sioule,
03 SEL Est Allier,46.37933,3.59161,03220 Jaligny sur Bresbre,
04 Carrefour du sel,43.98879,5.95153,04190 Les Mées,
04 SEL du pays de Forcalquier,43.95993,5.78071,04300 Forcalquier,https://www.maisondelafamilleforcalquier.com/le-cafe-papote-du-lundi
05 SEL briançonnais,44.89941,6.64317,05100 Briançon,http://seldebriancon.communityforge.net/
05 la BELLE de Gap,44.55963,6.07975,05000 Gap,http://labelleseldegap.communityforge.net/
05 Le galet du buech,44.31527,5.82164,05300 Laragne-Montéglin,http://legaletdubuech.communityforge.net/
06 SEL des 100 boules,43.59901,7.10363,06600 Antibes,http://semboules.communityforge.net/
