"title","latitude","longitude","Description","url"
"Fourth Corner Exchange",48.770446,-122.459621,"No info available","http://www.fourthcornerexchange.com"
"LETS Brummen en Eerbeek",52.105345,6.06308,"No info available","http://www.letsbrummen.nl/index.php"
"LETS Leeuwarden",53.200686,5.798721,"No info available","http://www.letsleeuwarden.nl"
"LETS Nuenen",51.471547,5.546722,"No info available","http://www.letsnuenen.nl"
"LETS Veldhoven",51.418265,5.405445,"No info available","http://www.novalife.nl/lex"
"Letskring Breda",51.58347,4.776993,"No info available","http://www.letskringbreda.nl"
"LetsKring De Linde - Tilburg",51.559784,5.08873,"No info available","http://www.letskring-delinde.nl"
"LETS-ruilkring Gemert-Bakel en omstreken",51.55829,5.688171,"No info available","http://www.ruilkring-lex.nl"
"Letstiel",51.890054,5.435314,"No info available","http://www.letstiel.nl/lex"
"Ruilhandel Oosterhout LETS",51.641033,4.862823,"No info available","http://www.ruilhandeloosterhout.nl/lex/"
"Ruilsysteem van Lokale Ruilkring 's-Hertogenbosch e.o.",51.697672,5.317726,"No info available","http://www.niksvoornikslex.nl/lex/"
"Westerveld Ruilt",52.859181,6.297913,"No info available","http://www.westerveldruilt.nl"
"LETS Norge",59.912009,10.754929,"No info available","http://lets.no"
"a2Manos",40.428917,-3.706169,"No info available","http://www.bancodetiempomalasana.com"
"Banc del Temps d'Igualada",41.583093,1.618423,"No info available","http://www.bdtigualada.org"
"Banc del Temps de la Garrotxa",42.185285,2.49733,"No info available","http://www.bdtgarrotxa.org"
"Banc del Temps de Salt - Girona",41.97302,2.791557,"No info available","http://www.bancdeltempsdesalt.org"
"Banc del Temps Pla de Palau - Girona",41.969191,2.816105,"No info available","http://www.bdtpladepalau.com"
"Banc del Temps Pont del Dimoni - Girona",42.01206,2.82546,"No info available","http://www.bdtpontdeldimoni.com"
"Banco de Tiempo Circulo de Agua",41.401149,2.161732,"No info available","http://www.bancodetiempocirculodeagua.es"
"Banco de tiempo de Delicias en Valladolid",41.637416,-4.720645,"No info available","http://www.tejiendo-redes.org/leuk"
"Banco de Tiempo los Barrios Altos de Bilbao",43.254205,-2.922363,"No info available","http://www.bdtbilbao.org"
"Banco del Tiempo de Hernani",43.269956,-1.973076,"No info available","http://www.berrera2.org/bdt"
"Banco del Tiempo de Iniciativa Ciudadana",40.127441,-5.685425,"No info available","http://www.iniciativaciudadanadelavera.org/bdt"
"Banco del Tiempo de Villanueva de la Serena",38.972489,-5.800095,"No info available","http://www.bdtvillanueva.es"
"Banco del Tiempo del Conseyu de Mocedเธฃเธ de Xixเธฃเธn",43.535856,-5.668602,"No info available","http://bancodeltiempo.cmx.es"
"Basauri Equitruke Denbora Bankua",43.236199,-2.889404,"No info available","http://www.equitruke.net"
"Economia Alternativa Cuenca",40.069665,-2.136497,"No info available","http://letscuenca.0fees.net/eacuenca"
"En Hora Buena del Barrio del Pilar",37.862894,-0.790071,"No info available","http://lets.enhorabuena.lapiluka.org/ (http://lets.enhorabuena.lapiluka.org/contact.php)"
"Punt de Trobada d'Acciเธฃเธ Polเธฃเธtica No Partidista",41.973913,2.812672,"No info available","http://pdt.politicanopartidista.org"
