title,url,description,longitude,latitude
"Anar Fent",https://anarfentbdt.cat,"Anar Fent",2.1844969,42.1943907
"Banc del Temps Sant Boi de Llobregat",http://bancdeltempssantboi.marianao.net/,"Banc del Temps Sant Boi de Llobregat",2.0277679,41.350713
"BANCO DEL TIEMPO ""FAVOR X FAVOR""",http://plataformamirandesadevoluntariado.blogspot.com.es/p/blog-page_6.html,"BANCO DEL TIEMPO ""FAVOR X FAVOR""",-2.9379548,42.6871713
"Banc de Cultures",http://15mpedia.org/wiki/Banc_de_Cultures,"Banc de Cultures",2.6546575,39.5707789
"Banc de Temps Figueres",https://bdtfigueres.wordpress.com/,"Banc de Temps Figueres",2.9616258,42.2647858
"Banc de Temps PremiÃ  de Mar",https://bancdetemps.pdm.cat/,"Banc de Temps PremiÃ  de Mar",2.3560233,41.4914536
"Banc de Temps de Badalona",https://www.facebook.com/Banc-de-Temps-de-Badalona-352710935643566/,"Banc de Temps de Badalona",2.2465472,41.4515833
"Banc de Temps de Blanes",http://www.bdtblanes.com/,"Banc de Temps de Blanes",2.7868467,41.6776403
"Banc de Temps de Calella",http://calella.bancdeltemps.org/,"Banc de Temps de Calella",2.661835,41.617445
"Banc de Temps de  Mira-sol",http://15mpedia.org/wiki/Banc_de_Temps_de_Mira-sol,"Banc de Temps de  Mira-sol",2.0441513,41.4678263
"Banc de Temps de PremiÃ ",https://bancdetemps.pdm.cat/,"Banc de Temps de PremiÃ",2.3560233,41.4914536
"Banc de Temps de Sant Feliu",https://www.cooperasantfeliu.org/banc-de-temps,"Banc de Temps de Sant Feliu",2.0470397,41.3820249
"Banc del Temps Santa Coloma de Gramenet",http://santacolomadegramenet.bancdeltemps.org,"Banc del Temps Santa Coloma de Gramenet",2.206212,41.453717
"Banc del Temps Civis Canyelles",https://www.facebook.com/civis.associacio,"Banc del Temps Civis Canyelles",1.7196685,41.2861949
"Banc del Temps Cubelles",http://bancdeltempscubell.wixsite.com/misitio,"Banc del Temps Cubelles",1.6719319,41.2090051
"Banc del Temps La Palma de CervellÃ³",https://www.facebook.com/bdtlapalma,"Banc del Temps La Palma de CervellÃ³",1.96921,41.413586
"Banc del Temps La Sagrera",http://lasagrera.bdtonline.org/,"Banc del Temps La Sagrera",2.1899933,41.4199544
"Banc del Temps",https://www.facebook.com/bancdeltempslloret/,"Banc del Temps",2.844443,41.7005032
"Banc del Temps Pineda de Mar",http://bancdeltempsdepinedademar.com/,"Banc del Temps Pineda de Mar",2.6718012,41.6274586
"Banc del Temps Sant Andreu",http://www.canportabella.cat/projectes/banc-del-temps-sant-andreu/,"Banc del Temps Sant Andreu",2.1918365,41.4291031
"Banc del Temps Sitges",http://www.accioenblau.org/,"Banc del Temps Sitges",1.80737,41.240618
